Date,Close
5/1/2018 16:00:00,65.42
5/2/2018 16:00:00,63.65
5/3/2018 16:00:00,62.23
5/4/2018 16:00:00,63.81
5/7/2018 16:00:00,62.3
5/8/2018 16:00:00,62.36
5/9/2018 16:00:00,62.94
5/10/2018 16:00:00,63.81
5/11/2018 16:00:00,64.09
5/14/2018 16:00:00,65.1
5/15/2018 16:00:00,64.61
5/16/2018 16:00:00,65.74
5/17/2018 16:00:00,65.99
5/18/2018 16:00:00,64.34
5/21/2018 16:00:00,64.5
5/22/2018 16:00:00,64.23
5/23/2018 16:00:00,63.91
5/24/2018 16:00:00,63.41
5/25/2018 16:00:00,63.53
5/29/2018 16:00:00,62.7
5/30/2018 16:00:00,63.54
5/31/2018 16:00:00,62.39
6/1/2018 16:00:00,62.86
6/4/2018 16:00:00,63.3
6/5/2018 16:00:00,62.89
6/6/2018 16:00:00,63.15
6/7/2018 16:00:00,63.6
6/8/2018 16:00:00,63.4
6/11/2018 16:00:00,64.06
6/12/2018 16:00:00,63.7
6/13/2018 16:00:00,63.91
6/14/2018 16:00:00,64.87
6/15/2018 16:00:00,65.8
6/18/2018 16:00:00,64.15
6/19/2018 16:00:00,64.61
6/20/2018 16:00:00,68
6/21/2018 16:00:00,67.79
6/22/2018 16:00:00,67.61
6/25/2018 16:00:00,67.24
6/26/2018 16:00:00,66.57
6/27/2018 16:00:00,66.26
6/28/2018 16:00:00,59.7
6/29/2018 16:00:00,60.02
7/2/2018 16:00:00,61.13
7/3/2018 13:00:00,60.76
7/5/2018 16:00:00,62.38
7/6/2018 16:00:00,63.3
7/9/2018 16:00:00,63.73
7/10/2018 16:00:00,63.2
7/11/2018 16:00:00,63.66
7/12/2018 16:00:00,63.88
7/13/2018 16:00:00,65.17
7/16/2018 16:00:00,65.16
7/17/2018 16:00:00,65.63
7/18/2018 16:00:00,66.16
7/19/2018 16:00:00,64.93
7/20/2018 16:00:00,64.98
7/23/2018 16:00:00,65.34
7/24/2018 16:00:00,65.51
7/25/2018 16:00:00,66.7
7/26/2018 16:00:00,67.54
7/27/2018 16:00:00,68.64
7/30/2018 16:00:00,69.16
7/31/2018 16:00:00,67.62
8/1/2018 16:00:00,66.44
8/2/2018 16:00:00,66.98
8/3/2018 16:00:00,67.22
8/6/2018 16:00:00,67.42
8/7/2018 16:00:00,67.05
8/8/2018 16:00:00,66.49
8/9/2018 16:00:00,66.17
8/10/2018 16:00:00,66.49
8/13/2018 16:00:00,66.48
8/14/2018 16:00:00,68.66
8/15/2018 16:00:00,68.73
8/16/2018 16:00:00,69.62
8/17/2018 16:00:00,69.99
8/20/2018 16:00:00,69.99
8/21/2018 16:00:00,70.25
8/22/2018 16:00:00,69.64
8/23/2018 16:00:00,69.28
8/24/2018 16:00:00,69.21
8/27/2018 16:00:00,69.44
8/28/2018 16:00:00,69.28
8/29/2018 16:00:00,68.66
8/30/2018 16:00:00,67.8
8/31/2018 16:00:00,68.56
9/4/2018 16:00:00,67.62
9/5/2018 16:00:00,68.24
9/6/2018 16:00:00,68.03
9/7/2018 16:00:00,68.19
9/10/2018 16:00:00,68.8
9/11/2018 16:00:00,68.74
9/12/2018 16:00:00,70.38
9/13/2018 16:00:00,70.48
9/14/2018 16:00:00,70.28
9/17/2018 16:00:00,70.45
9/18/2018 16:00:00,70.88
9/19/2018 16:00:00,71.28
9/20/2018 16:00:00,72.89
9/21/2018 16:00:00,73
9/24/2018 16:00:00,72.2
9/25/2018 16:00:00,72.21
9/26/2018 16:00:00,72.96
9/27/2018 16:00:00,73.81
9/28/2018 16:00:00,72.9
10/1/2018 16:00:00,72.46
10/2/2018 16:00:00,73.49
10/3/2018 16:00:00,73.8
10/4/2018 16:00:00,73.34
10/5/2018 16:00:00,72.51
10/8/2018 16:00:00,74.15
10/9/2018 16:00:00,73.56
10/10/2018 16:00:00,72.31
10/11/2018 16:00:00,70.9
10/12/2018 16:00:00,73.5
10/15/2018 16:00:00,74.72
10/16/2018 16:00:00,76.28
10/17/2018 16:00:00,76.98
10/18/2018 16:00:00,76.58
10/19/2018 16:00:00,77.35
10/22/2018 16:00:00,77.65
10/23/2018 16:00:00,77.26
10/24/2018 16:00:00,74.2
10/25/2018 16:00:00,75.74
10/26/2018 16:00:00,76.23
10/29/2018 16:00:00,76.82
10/30/2018 16:00:00,78.8
10/31/2018 16:00:00,79.77
11/1/2018 16:00:00,79.9
11/2/2018 16:00:00,79.3
11/5/2018 16:00:00,79.97
11/6/2018 16:00:00,80.6
11/7/2018 16:00:00,81.91
11/8/2018 16:00:00,82.44
11/9/2018 16:00:00,82.39
11/12/2018 16:00:00,81.81
11/13/2018 16:00:00,81.92
11/14/2018 16:00:00,81.52
11/15/2018 16:00:00,82.29
11/16/2018 16:00:00,82.52
11/19/2018 16:00:00,81.92
11/20/2018 16:00:00,79.79
11/21/2018 16:00:00,79.76
11/23/2018 13:00:00,80.81
11/26/2018 16:00:00,81.7
11/27/2018 16:00:00,83.52
11/28/2018 16:00:00,84.64
11/29/2018 16:00:00,84.85
11/30/2018 16:00:00,84.67
12/3/2018 16:00:00,85.69
12/4/2018 16:00:00,82.82
12/6/2018 16:00:00,82.94
12/7/2018 16:00:00,81.19
12/10/2018 16:00:00,81.16
12/11/2018 16:00:00,81.81
12/12/2018 16:00:00,82.44
12/13/2018 16:00:00,82.32
12/14/2018 16:00:00,78.74
12/17/2018 16:00:00,76.22
12/18/2018 16:00:00,75.48
12/19/2018 16:00:00,73.29
12/20/2018 16:00:00,69.61
12/21/2018 16:00:00,67.26
12/24/2018 13:00:00,65.26
12/26/2018 16:00:00,67.72
12/27/2018 16:00:00,68.36
12/28/2018 16:00:00,68.05
12/31/2018 16:00:00,68.33
1/2/2019 16:00:00,68.04
1/3/2019 16:00:00,67.33
1/4/2019 16:00:00,69.57
1/7/2019 16:00:00,69.97
1/8/2019 16:00:00,71.37
1/9/2019 16:00:00,72.23
1/10/2019 16:00:00,72.48
1/11/2019 16:00:00,71.71
1/14/2019 16:00:00,70.65
1/15/2019 16:00:00,71.79
1/16/2019 16:00:00,72
1/17/2019 16:00:00,71.99
1/18/2019 16:00:00,72.43
1/22/2019 16:00:00,71.59
1/23/2019 16:00:00,71.71
1/24/2019 16:00:00,71.32
1/25/2019 16:00:00,71.89
1/28/2019 16:00:00,71.58
1/29/2019 16:00:00,71.5
1/30/2019 16:00:00,71.61
1/31/2019 16:00:00,72.26
2/1/2019 16:00:00,71.88
2/4/2019 16:00:00,71.46
2/5/2019 16:00:00,71.31
2/6/2019 16:00:00,71.47
2/7/2019 16:00:00,71.2
2/8/2019 16:00:00,70.12
2/11/2019 16:00:00,70.47
2/12/2019 16:00:00,71.56
2/13/2019 16:00:00,72.43
2/14/2019 16:00:00,72.11
2/15/2019 16:00:00,73.43
2/19/2019 16:00:00,74.43
2/20/2019 16:00:00,71.8
2/21/2019 16:00:00,70.47
2/22/2019 16:00:00,70.43
2/25/2019 16:00:00,71.31
2/26/2019 16:00:00,71.48
2/27/2019 16:00:00,71.37
2/28/2019 16:00:00,71.19
3/1/2019 16:00:00,66.61
3/4/2019 16:00:00,64.74
3/5/2019 16:00:00,63.4
3/6/2019 16:00:00,61.1
3/7/2019 16:00:00,59.79
3/8/2019 16:00:00,59.9
3/11/2019 16:00:00,60.68
3/12/2019 16:00:00,61
3/13/2019 16:00:00,61.9
3/14/2019 16:00:00,61.82
3/15/2019 16:00:00,62.63
3/18/2019 16:00:00,63.08
3/19/2019 16:00:00,63.77
3/20/2019 16:00:00,62.79
3/21/2019 16:00:00,63.6
3/22/2019 16:00:00,62.41
3/25/2019 16:00:00,61.69
3/26/2019 16:00:00,61.92
3/27/2019 16:00:00,62.23
3/28/2019 16:00:00,62.51
3/29/2019 16:00:00,63.27
4/1/2019 16:00:00,63.49
4/2/2019 16:00:00,55.36
4/3/2019 16:00:00,54.84
4/4/2019 16:00:00,54.15
4/5/2019 16:00:00,54.69
4/8/2019 16:00:00,55.06
4/9/2019 16:00:00,54.5
4/10/2019 16:00:00,54.51
4/11/2019 16:00:00,53.44
4/12/2019 16:00:00,53.45
4/15/2019 16:00:00,54.24
4/16/2019 16:00:00,54.84
4/17/2019 16:00:00,55.14
4/18/2019 16:00:00,54.63
4/22/2019 16:00:00,54.1
4/23/2019 16:00:00,53.22
4/24/2019 16:00:00,53.47
4/25/2019 16:00:00,52.68
4/26/2019 16:00:00,52.85
4/29/2019 16:00:00,53.56
4/30/2019 16:00:00,53.57
